ID_Aluno	Nome	Data_Feedback	Feedback_Instrutor	Indice_Bem_Estar_Social
17	Dra. Lorena Nunes	2025-06-22	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.355
17	Dra. Lorena Nunes	2025-07-16	Excelente capacidade analítica e pensamento crítico	0.864
17	Dra. Lorena Nunes	2025-08-26	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.08
17	Dra. Lorena Nunes	2025-09-27	Bom desempenho, mas pode melhorar a participação nas discussões	0.557
18	Rebeca Cardoso	2024-12-28	Tem potencial, mas precisa se dedicar mais aos estudos	0.5
18	Rebeca Cardoso	2025-03-21	Demonstra maior engajamento nas atividades práticas	0.111
18	Rebeca Cardoso	2025-04-10	Mostra iniciativa para resolver problemas complexos	0.646
18	Rebeca Cardoso	2025-05-05	Mostra interesse, mas falta um pouco de foco durante as aulas	0.704
18	Rebeca Cardoso	2025-06-25	Líder natural, ajuda os colegas frequentemente	0.38
18	Rebeca Cardoso	2025-07-27	Mostra iniciativa para resolver problemas complexos	0.729
18	Rebeca Cardoso	2025-08-23	Demonstra maior engajamento nas atividades práticas	0.269
18	Rebeca Cardoso	2025-09-01	Precisa se esforçar mais para acompanhar o ritmo da turma	0.339
19	Srta. Ana Lívia Martins	2024-10-10	Mostra interesse, mas falta um pouco de foco durante as aulas	0.781
19	Srta. Ana Lívia Martins	2024-12-26	Apresentou melhora significativa neste período	0.689
19	Srta. Ana Lívia Martins	2025-02-23	Bom desempenho, mas pode melhorar a participação nas discussões	0.393
19	Srta. Ana Lívia Martins	2025-05-21	Colaborativo e sempre disposto a ajudar os colegas	0.904
19	Srta. Ana Lívia Martins	2025-06-16	Excelente capacidade analítica e pensamento crítico	0.458
19	Srta. Ana Lívia Martins	2025-07-02	Mostra iniciativa para resolver problemas complexos	0.939
19	Srta. Ana Lívia Martins	2025-08-06	Excelente capacidade analítica e pensamento crítico	0.533
19	Srta. Ana Lívia Martins	2025-09-08	Bom desempenho, mas pode melhorar a participação nas discussões	0.944
20	Davi Monteiro	2024-10-27	Mostra interesse, mas falta um pouco de foco durante as aulas	0.889
20	Davi Monteiro	2024-12-25	Estudante dedicado, sempre entrega as atividades no prazo	0.505
20	Davi Monteiro	2025-01-28	Bom desempenho, mas pode melhorar a participação nas discussões	0.037
20	Davi Monteiro	2025-02-05	Bom desempenho, mas pode melhorar a participação nas discussões	0.678
20	Davi Monteiro	2025-03-23	Tem potencial, mas precisa se dedicar mais aos estudos	0.25
20	Davi Monteiro	2025-05-21	Colaborativo e sempre disposto a ajudar os colegas	0.307
20	Davi Monteiro	2025-07-06	Líder natural, ajuda os colegas frequentemente	0.015
21	Nina da Mota	2025-01-12	Demonstra criatividade nas soluções apresentadas	0.332
21	Nina da Mota	2025-03-28	Apresentou melhora significativa neste período	0.378
21	Nina da Mota	2025-04-13	Demonstra maior engajamento nas atividades práticas	0.36
21	Nina da Mota	2025-05-18	Tem dificuldades com alguns conceitos, mas está progredindo	0.931
21	Nina da Mota	2025-06-14	Demonstra maior engajamento nas atividades práticas	0.324
21	Nina da Mota	2025-07-24	Tem potencial, mas precisa se dedicar mais aos estudos	0.762
21	Nina da Mota	2025-09-15	Precisa desenvolver mais confiança para expressar suas ideias	0.728
22	Dr. Leonardo Castro	2024-12-13	Mostra interesse, mas falta um pouco de foco durante as aulas	0.341
22	Dr. Leonardo Castro	2025-04-08	Pontual e organizado, exemplo para a turma	0.286
22	Dr. Leonardo Castro	2025-05-08	Bom desempenho, mas pode melhorar a participação nas discussões	0.051
22	Dr. Leonardo Castro	2025-06-10	Mantém consistência no desempenho ao longo do tempo	0.473
22	Dr. Leonardo Castro	2025-09-06	Participativo e questionador, contribui para o aprendizado da turma	0.352
23	Maria Sophia Sales	2024-12-11	Demonstra evolução constante ao longo do curso	0.212
23	Maria Sophia Sales	2025-01-19	Demonstra evolução constante ao longo do curso	0.648
23	Maria Sophia Sales	2025-02-07	Apresentou melhora significativa neste período	0.04
23	Maria Sophia Sales	2025-03-23	Excelente capacidade analítica e pensamento crítico	0.372
23	Maria Sophia Sales	2025-06-01	Excelente capacidade analítica e pensamento crítico	0.818
23	Maria Sophia Sales	2025-07-28	Estudante dedicado, sempre entrega as atividades no prazo	0.523
23	Maria Sophia Sales	2025-09-20	Participativo e questionador, contribui para o aprendizado da turma	0.649
24	Luiz Gustavo Ribeiro	2025-03-22	Líder natural, ajuda os colegas frequentemente	0.246
24	Luiz Gustavo Ribeiro	2025-05-19	Mantém consistência no desempenho ao longo do tempo	0.939
24	Luiz Gustavo Ribeiro	2025-06-21	Mostra iniciativa para resolver problemas complexos	0.348
24	Luiz Gustavo Ribeiro	2025-08-19	Mostra interesse, mas falta um pouco de foco durante as aulas	0.164
25	Emanuelly Azevedo	2024-10-20	Demonstra criatividade nas soluções apresentadas	0.438
25	Emanuelly Azevedo	2024-11-26	Colaborativo e sempre disposto a ajudar os colegas	0.295
25	Emanuelly Azevedo	2024-12-17	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.861
25	Emanuelly Azevedo	2025-02-23	Demonstra evolução constante ao longo do curso	0.441
25	Emanuelly Azevedo	2025-03-01	Precisa trabalhar melhor em equipe	0.52
25	Emanuelly Azevedo	2025-04-09	Pontual e organizado, exemplo para a turma	0.684
25	Emanuelly Azevedo	2025-05-27	Líder natural, ajuda os colegas frequentemente	0.379
25	Emanuelly Azevedo	2025-06-27	Mostra interesse, mas falta um pouco de foco durante as aulas	0.546
26	Gabrielly da Mota	2025-01-17	Apresentou melhora significativa neste período	0.805
26	Gabrielly da Mota	2025-02-13	Mantém consistência no desempenho ao longo do tempo	0.533
26	Gabrielly da Mota	2025-04-11	Mantém consistência no desempenho ao longo do tempo	0.674
26	Gabrielly da Mota	2025-05-07	Mantém consistência no desempenho ao longo do tempo	0.418
26	Gabrielly da Mota	2025-06-18	Excelente capacidade analítica e pensamento crítico	0.189
26	Gabrielly da Mota	2025-07-13	Excelente capacidade analítica e pensamento crítico	0.968
26	Gabrielly da Mota	2025-09-13	Estudante dedicado, sempre entrega as atividades no prazo	0.701
27	Dr. Juan Cavalcanti	2024-11-23	Apresentou melhora significativa neste período	0.299
27	Dr. Juan Cavalcanti	2024-12-14	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.371
27	Dr. Juan Cavalcanti	2025-01-10	Participativo e questionador, contribui para o aprendizado da turma	0.621
27	Dr. Juan Cavalcanti	2025-03-07	Estudante dedicado, sempre entrega as atividades no prazo	0.134
27	Dr. Juan Cavalcanti	2025-04-27	Precisa trabalhar melhor em equipe	0.736
27	Dr. Juan Cavalcanti	2025-07-05	Demonstra maior engajamento nas atividades práticas	0.752
27	Dr. Juan Cavalcanti	2025-08-21	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.86
28	Sra. Mariana das Neves	2024-10-08	Mostra interesse, mas falta um pouco de foco durante as aulas	0.328
28	Sra. Mariana das Neves	2025-02-10	Precisa se esforçar mais para acompanhar o ritmo da turma	0.171
28	Sra. Mariana das Neves	2025-03-07	Precisa se esforçar mais para acompanhar o ritmo da turma	0.781
28	Sra. Mariana das Neves	2025-04-03	Pontual e organizado, exemplo para a turma	0.035
28	Sra. Mariana das Neves	2025-05-21	Tem dificuldades com alguns conceitos, mas está progredindo	0.416
28	Sra. Mariana das Neves	2025-06-23	Pontual e organizado, exemplo para a turma	0.349
28	Sra. Mariana das Neves	2025-07-17	Pontual e organizado, exemplo para a turma	0.451
29	Kaique Vieira	2024-10-26	Excelente capacidade analítica e pensamento crítico	0.597
29	Kaique Vieira	2024-11-16	Bom desempenho, mas pode melhorar a participação nas discussões	0.154
29	Kaique Vieira	2024-12-12	Participativo e questionador, contribui para o aprendizado da turma	0.837
29	Kaique Vieira	2025-01-03	Precisa se esforçar mais para acompanhar o ritmo da turma	0.766
29	Kaique Vieira	2025-03-07	Participativo e questionador, contribui para o aprendizado da turma	0.103
29	Kaique Vieira	2025-06-17	Tem potencial, mas precisa se dedicar mais aos estudos	0.201
29	Kaique Vieira	2025-07-04	Colaborativo e sempre disposto a ajudar os colegas	0.256
29	Kaique Vieira	2025-09-06	Colaborativo e sempre disposto a ajudar os colegas	0.27
30	Maria Luiza Melo	2024-11-27	Excelente capacidade analítica e pensamento crítico	0.274
30	Maria Luiza Melo	2024-12-02	Demonstra evolução constante ao longo do curso	0.003
30	Maria Luiza Melo	2025-06-21	Apresentou melhora significativa neste período	0.388
31	Sr. Pedro Henrique da Mata	2024-10-13	Tem dificuldades com alguns conceitos, mas está progredindo	0.592
31	Sr. Pedro Henrique da Mata	2025-02-06	Demonstra evolução constante ao longo do curso	0.97
31	Sr. Pedro Henrique da Mata	2025-04-13	Mostra interesse, mas falta um pouco de foco durante as aulas	0.074
31	Sr. Pedro Henrique da Mata	2025-08-07	Pontual e organizado, exemplo para a turma	0.725
32	Dra. Lavínia Moura	2024-10-28	Precisa se esforçar mais para acompanhar o ritmo da turma	0.475
32	Dra. Lavínia Moura	2024-11-24	Excelente capacidade analítica e pensamento crítico	0.536
32	Dra. Lavínia Moura	2024-12-21	Líder natural, ajuda os colegas frequentemente	0.669
32	Dra. Lavínia Moura	2025-03-17	Precisa desenvolver mais confiança para expressar suas ideias	0.044
32	Dra. Lavínia Moura	2025-05-21	Pontual e organizado, exemplo para a turma	0.947
32	Dra. Lavínia Moura	2025-07-06	Demonstra evolução constante ao longo do curso	0.051
32	Dra. Lavínia Moura	2025-08-12	Estudante dedicado, sempre entrega as atividades no prazo	0.269
33	Anthony Silva	2025-01-06	Mostra interesse, mas falta um pouco de foco durante as aulas	0.036
33	Anthony Silva	2025-02-08	Bom desempenho, mas pode melhorar a participação nas discussões	0.764
33	Anthony Silva	2025-03-11	Precisa desenvolver mais confiança para expressar suas ideias	0.803
33	Anthony Silva	2025-09-21	Apresentou melhora significativa neste período	0.154
34	Ana Lívia da Costa	2024-11-01	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.266
34	Ana Lívia da Costa	2025-01-21	Mantém consistência no desempenho ao longo do tempo	0.913
34	Ana Lívia da Costa	2025-07-05	Apresentou melhora significativa neste período	0.364
35	João Vitor Nogueira	2024-10-03	Mantém consistência no desempenho ao longo do tempo	0.77
35	João Vitor Nogueira	2024-12-18	Pontual e organizado, exemplo para a turma	0.219
35	João Vitor Nogueira	2025-01-12	Precisa desenvolver mais confiança para expressar suas ideias	0.402
35	João Vitor Nogueira	2025-02-17	Precisa desenvolver mais confiança para expressar suas ideias	0.59
35	João Vitor Nogueira	2025-05-18	Mostra interesse, mas falta um pouco de foco durante as aulas	0.883
35	João Vitor Nogueira	2025-06-20	Precisa trabalhar melhor em equipe	0.778
35	João Vitor Nogueira	2025-08-19	Demonstra maior engajamento nas atividades práticas	0.042
35	João Vitor Nogueira	2025-09-10	Mantém consistência no desempenho ao longo do tempo	0.79
36	João Guilherme Vieira	2025-01-10	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.304
36	João Guilherme Vieira	2025-03-24	Demonstra criatividade nas soluções apresentadas	0.406
36	João Guilherme Vieira	2025-05-13	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.578
36	João Guilherme Vieira	2025-06-15	Precisa desenvolver mais confiança para expressar suas ideias	0.026
36	João Guilherme Vieira	2025-09-17	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.461
37	Nicolas da Mota	2024-10-25	Mostra iniciativa para resolver problemas complexos	0.634
37	Nicolas da Mota	2024-12-26	Demonstra criatividade nas soluções apresentadas	0.164
37	Nicolas da Mota	2025-03-26	Participativo e questionador, contribui para o aprendizado da turma	0.516
37	Nicolas da Mota	2025-04-11	Demonstra maior engajamento nas atividades práticas	0.933
37	Nicolas da Mota	2025-06-28	Precisa trabalhar melhor em equipe	0.497
37	Nicolas da Mota	2025-09-24	Bom desempenho, mas pode melhorar a participação nas discussões	0.646
38	Danilo Souza	2024-10-28	Bom desempenho, mas pode melhorar a participação nas discussões	0.827
38	Danilo Souza	2024-12-08	Estudante dedicado, sempre entrega as atividades no prazo	0.574
38	Danilo Souza	2025-02-08	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.061
38	Danilo Souza	2025-09-28	Precisa trabalhar melhor em equipe	0.469
39	Sr. Lucas Martins	2025-01-03	Estudante dedicado, sempre entrega as atividades no prazo	0.845
39	Sr. Lucas Martins	2025-04-23	Demonstra criatividade nas soluções apresentadas	0.833
39	Sr. Lucas Martins	2025-09-25	Pontual e organizado, exemplo para a turma	0.34
40	Gustavo Nascimento	2024-11-25	Precisa se esforçar mais para acompanhar o ritmo da turma	0.27
40	Gustavo Nascimento	2024-12-23	Demonstra criatividade nas soluções apresentadas	0.636
40	Gustavo Nascimento	2025-04-18	Tem potencial, mas precisa se dedicar mais aos estudos	0.679
40	Gustavo Nascimento	2025-06-27	Demonstra criatividade nas soluções apresentadas	0.216
41	Sra. Luna Castro	2024-12-05	Pontual e organizado, exemplo para a turma	0.691
41	Sra. Luna Castro	2025-02-06	Excelente capacidade analítica e pensamento crítico	0.24
41	Sra. Luna Castro	2025-07-17	Mostra iniciativa para resolver problemas complexos	0.171
41	Sra. Luna Castro	2025-08-25	Bom desempenho, mas pode melhorar a participação nas discussões	0.015
41	Sra. Luna Castro	2025-09-04	Líder natural, ajuda os colegas frequentemente	0.129
42	Srta. Maria Luiza Alves	2024-10-09	Mantém consistência no desempenho ao longo do tempo	0.275
42	Srta. Maria Luiza Alves	2024-12-23	Pontual e organizado, exemplo para a turma	0.336
42	Srta. Maria Luiza Alves	2025-01-13	Precisa se esforçar mais para acompanhar o ritmo da turma	0.636
42	Srta. Maria Luiza Alves	2025-02-25	Tem dificuldades com alguns conceitos, mas está progredindo	0.604
42	Srta. Maria Luiza Alves	2025-03-16	Tem potencial, mas precisa se dedicar mais aos estudos	0.184
42	Srta. Maria Luiza Alves	2025-05-24	Apresentou melhora significativa neste período	0.8
42	Srta. Maria Luiza Alves	2025-07-10	Bom desempenho, mas pode melhorar a participação nas discussões	0.9
42	Srta. Maria Luiza Alves	2025-08-27	Apresentou melhora significativa neste período	0.567
43	Murilo Rezende	2024-10-27	Tem dificuldades com alguns conceitos, mas está progredindo	0.421
43	Murilo Rezende	2025-01-16	Líder natural, ajuda os colegas frequentemente	0.91
43	Murilo Rezende	2025-03-08	Demonstra evolução constante ao longo do curso	0.055
43	Murilo Rezende	2025-05-01	Colaborativo e sempre disposto a ajudar os colegas	0.04
43	Murilo Rezende	2025-07-09	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.552
43	Murilo Rezende	2025-08-02	Demonstra evolução constante ao longo do curso	0.246
43	Murilo Rezende	2025-09-24	Participativo e questionador, contribui para o aprendizado da turma	0.423
44	Isabel Cardoso	2024-12-24	Tem dificuldades com alguns conceitos, mas está progredindo	0.691
44	Isabel Cardoso	2025-01-19	Apresentou melhora significativa neste período	0.708
44	Isabel Cardoso	2025-04-28	Colaborativo e sempre disposto a ajudar os colegas	0.195
44	Isabel Cardoso	2025-05-09	Tem potencial, mas precisa se dedicar mais aos estudos	0.166
44	Isabel Cardoso	2025-06-07	Mantém consistência no desempenho ao longo do tempo	0.156
44	Isabel Cardoso	2025-09-11	Mostra iniciativa para resolver problemas complexos	0.669
45	Isaac Martins	2024-12-28	Pontual e organizado, exemplo para a turma	0.197
45	Isaac Martins	2025-06-07	Participativo e questionador, contribui para o aprendizado da turma	0.601
45	Isaac Martins	2025-08-11	Tem dificuldades com alguns conceitos, mas está progredindo	0.722
45	Isaac Martins	2025-09-24	Estudante dedicado, sempre entrega as atividades no prazo	0.197
46	Ryan Aragão	2024-12-28	Excelente capacidade analítica e pensamento crítico	0.919
46	Ryan Aragão	2025-04-22	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.771
46	Ryan Aragão	2025-05-27	Bom desempenho, mas pode melhorar a participação nas discussões	0.877
47	Marina Peixoto	2024-11-06	Precisa trabalhar melhor em equipe	0.987
47	Marina Peixoto	2024-12-23	Pontual e organizado, exemplo para a turma	0.905
47	Marina Peixoto	2025-02-09	Precisa desenvolver mais confiança para expressar suas ideias	0.388
47	Marina Peixoto	2025-04-14	Tem dificuldades com alguns conceitos, mas está progredindo	0.694
47	Marina Peixoto	2025-05-23	Precisa desenvolver mais confiança para expressar suas ideias	0.035
47	Marina Peixoto	2025-06-20	Líder natural, ajuda os colegas frequentemente	0.197
47	Marina Peixoto	2025-08-22	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.522
47	Marina Peixoto	2025-09-27	Precisa trabalhar melhor em equipe	0.221
48	Srta. Mariana Mendes	2024-11-17	Colaborativo e sempre disposto a ajudar os colegas	0.508
48	Srta. Mariana Mendes	2025-01-03	Mostra iniciativa para resolver problemas complexos	0.022
48	Srta. Mariana Mendes	2025-02-27	Pontual e organizado, exemplo para a turma	0.207
48	Srta. Mariana Mendes	2025-03-19	Precisa desenvolver mais confiança para expressar suas ideias	0.788
48	Srta. Mariana Mendes	2025-07-08	Bom desempenho, mas pode melhorar a participação nas discussões	0.579
48	Srta. Mariana Mendes	2025-09-24	Mostra interesse, mas falta um pouco de foco durante as aulas	0.34
49	Eduardo Cunha	2024-10-28	Estudante dedicado, sempre entrega as atividades no prazo	0.558
49	Eduardo Cunha	2024-12-20	Excelente capacidade analítica e pensamento crítico	0.503
49	Eduardo Cunha	2025-03-26	Apresentou melhora significativa neste período	0.129
49	Eduardo Cunha	2025-05-10	Demonstra evolução constante ao longo do curso	0.681
49	Eduardo Cunha	2025-07-06	Líder natural, ajuda os colegas frequentemente	0.014
49	Eduardo Cunha	2025-09-16	Excelente participação em aula, demonstra grande interesse pelo conteúdo	0.56
50	Sophia Peixoto	2024-11-27	Demonstra criatividade nas soluções apresentadas	0.458
50	Sophia Peixoto	2024-12-13	Precisa trabalhar melhor em equipe	0.136
50	Sophia Peixoto	2025-03-02	Demonstra maior engajamento nas atividades práticas	0.638
50	Sophia Peixoto	2025-05-09	Demonstra maior engajamento nas atividades práticas	0.25
50	Sophia Peixoto	2025-08-12	Demonstra evolução constante ao longo do curso	0.869
51	Mariana Araújo	2024-10-21	Precisa se esforçar mais para acompanhar o ritmo da turma	0.796
51	Mariana Araújo	2024-12-24	Bom desempenho, mas pode melhorar a participação nas discussões	0.892
51	Mariana Araújo	2025-03-28	Precisa desenvolver mais confiança para expressar suas ideias	0.355
51	Mariana Araújo	2025-04-14	Colaborativo e sempre disposto a ajudar os colegas	0.421
51	Mariana Araújo	2025-05-21	Mantém consistência no desempenho ao longo do tempo	0.026
51	Mariana Araújo	2025-06-21	Precisa trabalhar melhor em equipe	0.827
51	Mariana Araújo	2025-07-03	Demonstra criatividade nas soluções apresentadas	0.423
51	Mariana Araújo	2025-08-14	Tem dificuldades com alguns conceitos, mas está progredindo	0.653
52	João Felipe Costela	2025-03-08	Líder natural, ajuda os colegas frequentemente	0.424
52	João Felipe Costela	2025-07-09	Tem dificuldades com alguns conceitos, mas está progredindo	0.841
52	João Felipe Costela	2025-09-13	Excelente capacidade analítica e pensamento crítico	0.484
53	Sr. Bruno Almeida	2024-10-08	Excelente capacidade analítica e pensamento crítico	0.868
53	Sr. Bruno Almeida	2024-12-14	Estudante dedicado, sempre entrega as atividades no prazo	0.295
53	Sr. Bruno Almeida	2025-01-09	Pontual e organizado, exemplo para a turma	0.14
53	Sr. Bruno Almeida	2025-03-12	Demonstra criatividade nas soluções apresentadas	0.89
53	Sr. Bruno Almeida	2025-04-23	Líder natural, ajuda os colegas frequentemente	0.478
54	João Guilherme da Rocha	2024-10-03	Tem dificuldades com alguns conceitos, mas está progredindo	0.164
54	João Guilherme da Rocha	2024-11-24	Precisa desenvolver mais confiança para expressar suas ideias	0.241
54	João Guilherme da Rocha	2024-12-25	Demonstra evolução constante ao longo do curso	0.276
